#Code,description
#Extracted from http://www.publictendering.com/xls/CPV2008es.xls on 20151010. Converted using in2csv.
66132000-4,Servicios de corretaje de mercancías
66133000-1,Servicios de tramitación y liquidación
66140000-3,Servicios de gestión de cartera
66141000-0,Servicios de gestión de fondos de pensiones
66150000-6,Servicios de administración de los mercados financieros
66151000-3,Servicios operativos del mercado financiero
66151100-4,Servicios de venta minorista electrónica
66152000-0,Servicios de regulación del mercado financiero
66160000-9,Servicios fiduciarios y de custodia
66161000-6,Servicios fiduciarios
66162000-3,Servicios de custodia
66170000-2,"Servicios de asesoramiento financiero, de procesamiento de transacciones financieras y de cámara de compensación"
66171000-9,Servicios de asesoramiento financiero
66172000-6,Servicios de procesamiento de transacciones financieras y de cámara de compensación
66180000-5,Servicios de cambio de divisas
66190000-8,Servicios de corretaje de préstamos
66500000-5,Servicios de seguros y pensiones
66510000-8,Servicios de seguros
66511000-5,Servicios de seguros de vida
66512000-2,Servicios de seguros de accidentes y de enfermedad
66512100-3,Servicios de seguros de accidentes
66512200-4,Servicios de seguros de asistencia médica
66512210-7,Servicios de seguro voluntario de asistencia médica
66512220-0,Servicios de seguros médicos
66513000-9,Servicios de seguros de defensa jurídica y de seguros a todo riesgo
66513100-0,Servicios de seguros de defensa jurídica
66513200-1,Servicios de seguros de todo riesgo para la construcción
66514000-6,Seguros de flete y servicios de seguros relacionados con el transporte
66514100-7,Seguros relacionados con el transporte
66514110-0,Servicios de seguros de automóviles
66514120-3,"Servicios de seguro marítimo, de aviación y de transportes de otro tipo"
66514130-6,Servicios de seguros de ferrocarril
66514140-9,Servicios de seguros de aeronaves
66514150-2,Servicios de seguros de embarcaciones
66514200-8,Servicios de seguros de fletes
66515000-3,Servicios de seguros de daños
66515100-4,Servicios de seguros de incendio
66515200-5,Servicios de seguros de cosas
66515300-6,Servicios de seguros contra inclemencias del tiempo y pérdida financiera
66515400-7,Servicios de seguros contra las inclemencias del tiempo
66515410-0,Servicios de seguros contra pérdidas financieras
66515411-7,Servicios de seguros de pérdida pecuniaria
66516000-0,Servicios de seguros de responsabilidad civil
66516100-1,Servicios de seguros de responsabilidad civil de automóviles
66516200-2,Servicios de seguros de responsabilidad civil de aeronaves
66516300-3,Servicios de seguros de responsabilidad civil de embarcaciones
66516400-4,Servicios de seguros de responsabilidad civil general
66516500-5,Servicios de seguros de responsabilidad profesional
66517000-7,Servicios de seguros de crédito y caución
66517100-8,Servicios de seguros de crédito
66517200-9,Servicios de seguros de caución
66517300-0,Servicios de seguros de administración de riesgos
66518000-4,Servicios de corretaje y de agencias de seguros
66518100-5,Servicios de corretaje de seguros
66518200-6,Servicios de compañías de seguros
66518300-7,Servicios de peritaje de daños
66519000-1,"Servicios de seguros de ingeniería, complementarios, de liquidación de avería gruesa, de liquidación de siniestros, actuariales y de rescates"
66519100-2,Servicios de seguros de plataformas de petróleo o de gas
66519200-3,Servicios de seguros de ingeniería
66519300-4,Servicios de seguros complementarios
66519310-7,Servicios de asesoramiento en materia de seguros
66519400-5,Servicios de liquidación de avería gruesa
66519500-6,Servicios de liquidación de siniestros
66519600-7,Servicios actuariales
66519700-8,Servicios de gestión de rescates
66520000-1,Servicios de pensiones
66521000-8,Servicios de planes de pensiones individuales
66522000-5,Servicios de pensiones de grupo
66523000-2,Servicios de asesoramiento sobre fondos de pensiones
66523100-3,Servicios de administración de fondos de pensiones
66600000-6,Servicios de tesorería
66700000-7,Servicios de reaseguro
66710000-0,Servicios de reaseguro de vida
66720000-3,Servicios de reaseguro de accidente y enfermedad
70000000-1,Servicios inmobiliarios
70100000-2,Servicios inmobiliarios relacionados con bienes raíces propios
70110000-5,Servicios de promoción de bienes raíces
70111000-2,Promoción de bienes raíces residenciales
70112000-9,Promoción de bienes raíces no residenciales
70120000-8,Compraventa de bienes raíces
70121000-5,Servicios de compra o venta de edificios
70121100-6,Servicios de venta de edificios
70121200-7,Servicios de compra de edificios
70122000-2,Servicios de compra o venta de terrenos
70122100-3,Servicios de venta de terrenos
70122110-6,Servicios de venta de terrenos desocupados
70122200-4,Servicios de compra de terrenos
70122210-7,Servicios de compra de terrenos desocupados
70123000-9,Venta de bienes raíces
70123100-0,Venta de bienes raíces residenciales
70123200-1,Venta de bienes raíces no residenciales
70130000-1,Servicios de arrendamiento de bienes raíces propios
70200000-3,Servicios de alquiler o arrendamiento financiero relativos a bienes raíces propios
70210000-6,Servicios de alquiler o arrendamiento financiero relativos a bienes raíces residenciales propios
70220000-9,Servicios de alquiler o arrendamiento financiero relativos a bienes raíces no residenciales propios
70300000-4,Servicios varios de agencias inmobiliarias a comisión o por contrato
70310000-7,Servicios de alquiler o venta de edificios
70311000-4,Servicios de alquiler o venta de edificios residenciales
70320000-0,Servicios de alquiler o venta de terrenos
70321000-7,Servicios de alquiler de terrenos
70322000-4,Servicios de alquiler o venta de terrenos desocupados
70330000-3,Servicios de administración de bienes raíces a comisión o por contrato
70331000-0,Servicios relacionados con propiedades residenciales
70331100-1,Servicios de gestión de instituciones
70332000-7,Servicios relacionados con propiedades no residenciales
70332100-8,Servicios de administración de terrenos
70332200-9,Servicios de administración de propiedades comerciales
70332300-0,Servicios relacionados con la propiedad industrial
70333000-4,Servicios relacionados con viviendas
70340000-6,Servicios relacionados con la multipropiedad
71000000-8,"Servicios de arquitectura, construcción, ingeniería e inspección"
71200000-0,Servicios de arquitectura y servicios conexos
71210000-3,Servicios de asesoramiento en arquitectura
71220000-6,Servicios de diseño arquitectónico
71221000-3,Servicios de arquitectura para edificios
71222000-0,Servicios de arquitectura para instalaciones al aire libre
71222100-1,Servicios de cartografía de zonas urbanas
71222200-2,Servicios de cartografía de zonas rurales
71223000-7,Servicios de arquitectura para trabajos de ampliación de edificios
71230000-9,Servicios de organización de concursos de proyectos de arquitectura
71240000-2,"Servicios de arquitectura, ingeniería y planificación"
71241000-9,"Estudio de viabilidad, servicios de asesoramiento, análisis"
71242000-6,"Elaboración de proyectos y diseños, presupuestos"
71243000-3,Anteproyectos (sistemas e integración)
71244000-0,"Cálculo de costes, seguimiento de costes"
71245000-7,"Proyectos presentados para aprobación, planos de ejecución y especificaciones"
71246000-4,Determinación y listado de cantidades necesarias para la construcción
71247000-1,Supervisión del trabajo de construcción
71248000-8,Supervisión del proyecto y documentación
71250000-5,"Servicios de arquitectura, ingeniería y agrimensura"
71251000-2,Servicios de arquitectura y de planimetría de edificios
71300000-1,Servicios de ingeniería
71310000-4,Servicios de consultoría en ingeniería y construcción
71311000-1,Servicios de consultoría en ingeniería civil
71311100-2,Servicios de asistencia en ingeniería civil
71311200-3,Servicios de consultoría en sistemas de transporte
71311210-6,Servicios de consultoría en materia de carreteras
71311220-9,Servicios de ingeniería de caminos
71311230-2,Servicios de ingeniería ferroviaria
71311240-5,Servicios de ingeniería aeroportuaria
71311300-4,Servicios de consultoría en infraestructura
71312000-8,Servicios de consultoría en ingeniería de estructuras
71313000-5,Servicios de consultoría en ingeniería ambiental
71313100-6,Servicios de consultoría en control del ruido
71313200-7,Servicios de consultoría en aislamiento acústico y acústica arquitectural
71313400-9,Evaluación del impacto ambiental para la construcción
71313410-2,Evaluación del riesgo o peligro para la construcción
71313420-5,Normas ambientales para la construcción
71313430-8,Análisis de indicadores ambientales para la construcción
71313440-1,Servicios de evaluación del impacto ambiental (EIA) para la construcción
71313450-4,Seguimiento ambiental para la construcción
71314000-2,Servicios de energía y servicios conexos
71314100-3,Servicios de electricidad
71314200-4,Servicios de gestión de energía
71314300-5,Servicios de consultoría en rendimiento energético
71314310-8,Servicios de física térmica para edificios
71315000-9,Instalaciones técnicas de edificios
71315100-0,Servicios de consultoría en construcción de edificios
71315200-1,Servicios de consultoría en materia de edificios
71315210-4,Servicios de consultoría en acometidas de edificios
71315300-2,Servicios de planimetría de edificios
71315400-3,Servicios de inspección de edificios
71315410-6,Inspección del sistema de ventilación
71316000-6,Servicios de consultoría en telecomunicaciones
71317000-3,Servicios de consultoría en protección y control de riesgos
71317100-4,Servicios de consultoría en protección y control de incendios y explosiones
71317200-5,Servicios de salud y seguridad
71317210-8,Servicios de consultoría en salud y seguridad
71318000-0,Servicios de asesoramiento y consultoría en ingeniería
71318100-1,Servicios de luminotecnia y de iluminación natural
71319000-7,Servicios de peritaje
71320000-7,Servicios de diseño técnico
71321000-4,Servicios de diseño técnico de instalaciones mecánicas y eléctricas para edificios
71321100-5,Servicios de evaluación económica de la construcción
71321200-6,Servicios de diseño de sistemas de calefacción
71321300-7,Servicios de consultoría en fontanería
71321400-8,Servicios de consultoría en ventilación
71322000-1,Servicios de diseño técnico para la construcción de obras de ingeniería civil
71322100-2,Servicios de estudio de dimensiones para obras de ingeniería civil
71322200-3,Servicios de diseño de tuberías
71322300-4,Servicios de diseño de puentes
71322400-5,Servicios de diseño de represas
71322500-6,Servicios de diseño técnico de instalaciones de tráfico
71323000-8,Servicios de diseño técnico del proceso y la producción industriales
71323100-9,Servicios de diseño de sistemas eléctricos
71323200-0,Servicios de diseño de ingeniería de instalaciones
71324000-5,Servicios de estudio de dimensiones
71325000-2,Servicios de proyecto de cimientos
71326000-9,Servicios auxiliares de edificios
71327000-6,Servicios de diseño de la estructura
71328000-3,Servicios de verificación de la estructura
71330000-0,Servicios diversos de ingeniería
71331000-7,Servicios de ingeniería en materia de lodos de perforación
71332000-4,Servicios de ingeniería geotécnica
71333000-1,Servicios de ingeniería mecánica
71334000-8,Servicios de ingeniería mecánica y eléctrica
71335000-5,Estudios de ingeniería
71336000-2,Servicios complementarios de ingeniería
71337000-9,Servicios técnicos de protección contra la corrosión
71340000-3,Servicios integrados de ingeniería
71350000-6,Servicios científicos y técnicos relacionados con la ingeniería
71351000-3,"Servicios de prospección geológica, geofísica y otros tipos de prospección científica"
71351100-4,Servicios de preparación y análisis de testigos
71351200-5,Servicios de consultoría en materia geológica y geofísica
71351210-8,Servicios de consultoría en geofísica
71351220-1,Servicios de consultoría en geología
71351300-6,Servicios de análisis micropaleontológico
71351400-7,Servicios de interpretación petrofísica
71351500-8,Servicios de estudio de suelos
71351600-9,Servicios de predicción del tiempo
71351610-2,Servicios de meteorología
71351611-9,Servicios de climatología
71351612-6,Servicios de hidrometeorología
71351700-0,Servicios de prospección científica
71351710-3,Servicios de prospección geofísica
71351720-6,Levantamiento geofísico de yacimientos arqueológicos
71351730-9,Servicios de prospección geológica
71351800-1,Servicios topográficos y de radiestesia
71351810-4,Servicios topográficos
71351811-1,Levantamiento topográfico de yacimientos arqueológicos
71351820-7,Servicios de radiestesia
71351900-2,"Servicios de geología, oceanografía e hidrología"
71351910-5,Servicios de geología
71351911-2,Servicios de fotogeología
71351912-9,Servicios de geología estratigráfica
71351913-6,Servicios de exploración geológica
71351914-3,Servicios arqueológicos
71351920-2,Servicios de oceanografía e hidrología
71351921-2,Servicios de oceanografía estuarial
71351922-2,Servicios de oceanografía física
71351923-2,Servicios de mediciones batimétricas
71351924-2,Servicios de exploración subacuática
71352000-0,Servicios de topografía subterránea
71352100-1,Servicios de sismología
71352110-4,Servicios de estudios sismográficos
71352120-7,Servicios de adquisición de datos sísmicos
71352130-0,Servicios de recogida de datos sísmicos
71352140-3,Servicios de tratamiento de datos sísmicos
71352300-3,Servicios de exploración magnetométrica
71353000-7,Servicios de mediciones topográficas de superficie
71353100-8,Servicios de estudios hidrográficos
71353200-9,Servicios de topografía dimensional
71354000-4,Servicios de cartografía
71354100-5,Servicios de cartografía digital
71354200-6,Servicios de cartografía aérea
71354300-7,Servicios de estudios catastrales
71354400-8,Servicios hidrográficos
71354500-9,Servicios de investigación marítima
71355000-1,Servicios de agrimensura
71355100-2,Servicios de fotogrametría
71355200-3,Servicio oficial de topografía catastral
71356000-8,Servicios técnicos
71356100-9,Servicios de control técnico
71356200-0,Servicios de asistencia técnica
71356300-1,Servicios de apoyo técnico
71356400-2,Servicios de planificación técnica
71400000-2,Servicios de planificación urbana y de arquitectura paisajística
71410000-5,Servicios de urbanismo
71420000-8,Servicios de arquitectura paisajística
71421000-5,Servicios de jardinería paisajística
71500000-3,Servicios relacionados con la construcción
71510000-6,Servicios de estudio del emplazamiento
71520000-9,Servicios de supervisión de obras
71521000-6,Servicios de supervisión del emplazamiento de la obra
71530000-2,Servicios de consultoría en materia de construcción
71540000-5,Servicios de gestión de obras
71541000-2,Servicios de gestión de proyectos de construcción
71550000-8,Servicios de herrería
71600000-4,"Servicios de ensayo, análisis y consultoría técnicos"
71610000-7,Servicios de ensayo y análisis de composición y pureza
71620000-0,Servicios de análisis
71621000-7,Servicios de ensayo o consultoría técnicos
71630000-3,Servicios de inspección y ensayo técnicos
71631000-0,Servicios de inspección técnica
71631100-1,Servicios de inspección de maquinaria
71631200-2,Servicios de inspección técnica de automóviles
71631300-3,Servicios de inspección técnica de edificios
71631400-4,Servicios de inspección técnica de estructuras de ingeniería
71631420-0,Servicios de inspección relacionados con la seguridad marítima
71631430-3,Servicios de verificación de fugas
71631440-6,Servicios de control de flujos
71631450-9,Servicios de inspección de puentes
71631460-2,Servicios de inspección de represas
71631470-5,Servicios de inspección de vías férreas
71631480-8,Servicios de inspección de carreteras
71631490-1,Servicios de inspección de pistas de aterrizaje
71632000-7,Servicios de ensayo técnico
71632100-8,Servicios de ensayo de válvulas
71632200-9,Servicios de ensayo no destructivo
71700000-5,Servicios de monitorización y control
71730000-4,Servicios de inspección industrial
71731000-1,Servicios de control de calidad industrial
71800000-6,Servicios de consultoría en suministro de agua y en materia de desechos
71900000-7,Servicios de laboratorio
72000000-5,"Servicios TI: consultoría, desarrollo de software, Internet y apoyo"
72100000-6,Servicios de consultoría en equipo informático
72110000-9,Servicios de consultoría en la selección del equipo informático
72120000-2,Servicios de consultoría en recuperación de equipo informático en caso de catástrofe
72130000-5,Servicios de consultoría en planificación de instalaciones informáticas
72140000-8,Servicios de consultoría en pruebas de aceptación de equipo informático
72150000-1,Servicios de consultoría en auditoría informática y en equipo informático
72200000-7,Servicios de programación de software y de consultoría
72210000-0,Servicios de programación de paquetes de software
72211000-7,Servicios de programación de sistemas y software de usuario
72212000-4,Servicios de programación de software de aplicación
72212100-0,Servicios de desarrollo de software específico de un sector económico
72212110-3,Servicios de desarrollo de software de puntos de venta
72212120-6,Servicios de desarrollo de software de control de vuelos
72212121-3,Servicios de desarrollo de software de control del tránsito aéreo
72212130-9,Servicios de desarrollo de software de apoyo en tierra y de ensayos para la aviación
72212131-6,Servicios de desarrollo de software de equipos de apoyo en tierra para la aviación
72212132-3,Servicios de desarrollo de software de ensayos para la aviación
72212140-2,Servicios de desarrollo de software de control del tráfico ferroviario
72212150-5,Servicios de desarrollo de software de control industrial
72212160-8,Servicios de desarrollo de software de bibliotecas
72212170-1,Servicios de desarrollo de software de conformidad
72212180-4,Servicios de desarrollo de software médico
72212190-7,Servicios de desarrollo de software educativo
72212200-1,"Servicios de desarrollo de software de conexión en red, Internet e intranet"
72212210-4,Servicios de desarrollo de software de conexión en red
72212211-1,Servicios de desarrollo de software de interconectividad de plataformas
72212212-8,Servicios de desarrollo de software de servidor de discos ópticos
72212213-5,Servicios de desarrollo de software para mejorar el sistema operativo
72212214-2,Servicios de desarrollo de software de sistemas operativos en red
72212215-9,Servicios de desarrollo de software de desarrolladores de redes
72212216-6,Servicios de desarrollo de software de emulación de terminal de conectividad de redes
72212217-3,Servicios de desarrollo de software de proceso de transacciones
72212218-0,Servicios de desarrollo de software de gestión de licencias
72212219-7,Servicios diversos de desarrollo de software de conexión en red
72212220-7,Servicios de desarrollo de software de Internet e intranet
72212221-4,Servicios de desarrollo de software de navegación en Internet
72212222-1,Servicios de desarrollo de software de servidores web
72212223-8,Servicios de desarrollo de software de correo electrónico
72212224-5,Servicios de desarrollo de software de edición de páginas web
72212300-2,"Servicios de desarrollo de software de creación de documentos, dibujo, tratamiento de imágenes, planificación y productividad"
72212310-5,Servicios de desarrollo de software de creación de documentos
72212311-2,Servicios de desarrollo de software de gestión de documentos
72212312-9,Servicios de desarrollo de software de edición electrónica
72212313-6,Servicios de desarrollo de software de reconocimiento óptico de caracteres (OCR)
72212314-3,Servicios de desarrollo de software de reconocimiento vocal
72212315-0,Servicios de desarrollo de software de autoedición
72212316-7,Servicios de desarrollo de software de presentación
72212317-4,Servicios de desarrollo de software de tratamiento de textos
72212318-1,Servicios de desarrollo de software de escáner
72212320-8,Servicios de desarrollo de software de dibujo y tratamiento de imágenes
72212321-5,Servicios de desarrollo de software de diseño asistido por ordenador (DAO)
72212322-2,Servicios de desarrollo de software de gráficos
72212323-9,Servicios de desarrollo de software de fabricación asistida por ordenador (FAO)
72212324-6,Servicios de desarrollo de software de trazado de diagramas
72212325-3,Servicios de desarrollo de software de diseño de formularios
72212326-0,Servicios de desarrollo de software cartográfico
72212327-7,Servicios de desarrollo de software de dibujo y pintura
72212328-4,Servicios de desarrollo de software de tratamiento de imágenes
72212330-1,Servicios de desarrollo de software de planificación y productividad
72212331-8,Servicios de desarrollo de software de gestión de proyectos
72212332-5,Servicios de desarrollo de software de planificación
72212333-2,Servicios de desarrollo de software de gestión de contactos
72212400-3,Servicios de desarrollo de software de transacciones comerciales y personales
72212410-6,Servicios de desarrollo de software de gestión de inversiones y elaboración de declaraciones fiscales
72212411-3,Servicios de desarrollo de software de gestión de inversiones
72212412-0,Servicios de desarrollo de software de elaboración de declaraciones fiscales
72212420-9,"Servicios de desarrollo de software de la gestión de instalaciones y ""suite"" de servicios de desarrollo de software"
72212421-6,Servicios de desarrollo de software de gestión de instalaciones
72212422-3,"""Suites"" de servicios de desarrollo de software"
72212430-2,Servicios de desarrollo de software de gestión de inventarios
72212440-5,Servicios de desarrollo de software de análisis financiero y contabilidad
72212441-2,Servicios de desarrollo de software de análisis financiero
72212442-9,Servicios de desarrollo de software de sistemas financieros
72212443-6,Servicios de desarrollo de software de contabilidad
72212445-0,Servicios de desarrollo de software de gestión de relaciones con el consumidor
72212450-8,Servicios de desarrollo de software de contabilización del tiempo o recursos humanos
72212451-5,Servicios de desarrollo de software de planificación de recursos empresariales
72212460-1,"Servicios de desarrollo de software analítico, científico, matemático o predictivo"
72212461-8,Servicios de desarrollo de software analítico o científico
72212462-5,Servicios de desarrollo de software matemático o predictivo
72212463-2,Servicios de desarrollo de software estadístico
72212470-4,Servicios de desarrollo de software de subastas
72212480-7,"Servicios de desarrollo de software de ventas, mercadotecnia e inteligencia empresarial"
72212481-4,Servicios de desarrollo de software de ventas y mercadotecnia
72212482-1,Servicios de desarrollo de software de inteligencia empresarial
72212490-0,Servicios de desarrollo de software de contratación administrativa
72212500-4,Servicios de desarrollo de software de comunicación y multimedia
72212510-7,Servicios de desarrollo de software de comunicación
72212511-4,Servicios de desarrollo de software de comunicaciones de escritorio
72212512-1,Servicios de desarrollo de software de respuesta vocal interactiva
72212513-8,Servicios de desarrollo de software de módem
72212514-5,Servicios de desarrollo de software de acceso remoto
72212515-2,Servicios de desarrollo de software de videoconferencia
72212516-9,Servicios de desarrollo de software de intercambio
72212517-6,Servicios de desarrollo de software de TI
72212518-3,Servicios de desarrollo de software de emulación
72212519-0,Servicios de desarrollo de software de gestión de memoria
72212520-0,Servicios de desarrollo de software multimedia
72212521-7,Servicios de desarrollo de software de edición de música o sonido
72212522-4,Servicios de desarrollo de software de teclado virtual
72212600-5,Servicios de desarrollo de software de bases de datos y de funcionamiento
72212610-8,Servicios de desarrollo de software de bases de datos
72212620-1,Servicios de desarrollo de software del sistema operativo de la unidad central
72212630-4,Servicios de desarrollo de software de sistema operativo de miniordenador
72212640-7,Servicios de desarrollo de software de sistema operativo de microordenador
72212650-0,Servicios de desarrollo de software de sistema operativo de ordenador personal (PC)
72212660-3,Servicios de desarrollo de software de agrupamiento
72212670-6,Servicios de desarrollo de software de sistema operativo de tiempo real
72212700-6,Utilidades de servicios de desarrollo de software
72212710-9,Servicios de desarrollo de software de copia de seguridad o recuperación
72212720-2,Servicios de desarrollo de software de código de barras
72212730-5,Servicios de desarrollo de software de seguridad
72212731-2,Servicios de desarrollo de software de seguridad de archivos
72212732-9,Servicios de desarrollo de software de seguridad de datos
72212740-8,Servicios de desarrollo de software de traducción de lenguas extranjeras
72212750-1,Servicios de desarrollo de software de carga de medios de almacenamiento
72212760-4,Servicios de desarrollo de software de protección antivirus
72212761-1,Servicios de desarrollo de software antivirus
72212770-7,"Servicios de desarrollo de software de utilidades generales, de compresión y de impresión"
72212771-4,Servicios de desarrollo de software de utilidades generales
72212772-1,Servicios de desarrollo de software de utilidades de impresión
72212780-0,"Servicios de desarrollo de software de gestión de sistemas, almacenamiento y contenido"
72212781-7,Servicios de desarrollo de software de gestión de sistemas
72212782-4,Servicios de desarrollo de software de gestión de almacenamiento
72212783-1,Servicios de desarrollo de software de gestión de contenido
72212790-3,Servicios de desarrollo de software de comprobación de versiones
72212900-8,Servicios de desarrollo de software y sistemas informáticos diversos
72212910-1,"Servicios de desarrollo de software de juegos informáticos, títulos para toda la familia y salvapantallas"
72212911-8,Servicios de desarrollo de software de juegos informáticos
72212920-4,Servicios de desarrollo de software ofimático
72212930-7,Servicios de desarrollo de software de formación y entretenimiento
72212931-4,Servicios de desarrollo de software de formación
72212932-1,Servicios de desarrollo de software de entretenimiento
72212940-0,Servicios de desarrollo de software de diseños y calendario
72212941-7,Servicios de desarrollo de software de diseños
72212942-4,Servicios de desarrollo de software de calendario
72212960-6,Servicios de desarrollo de software de controladores y sistemas
72212970-9,Servicios de desarrollo de software para imprenta
72212971-6,Servicios de desarrollo de software de elaboración de libretas de direcciones
72212972-3,Servicios de desarrollo de software de elaboración de etiquetas
72212980-2,Servicios de lenguajes de programación y de desarrollo de herramientas
72212981-9,Servicios de desarrollo de software de compilación
72212982-6,Servicios de desarrollo de software de gestión de la configuración
72212983-3,Servicios de desarrollo de software de desarrollo
72212984-0,Servicios de desarrollo de software de ensayo de programas
72212985-7,Servicios de desarrollo de software de depuración
72212990-5,Servicios de desarrollo de software de hoja de cálculo y mejora de hoja de cálculo
72212991-2,Servicios de desarrollo de software de hoja de cálculo
72220000-3,Servicios de consultoría en sistemas y consultoría técnica
72221000-0,Servicios de consultoría en análisis empresarial
72222000-7,Servicios de planificación y revisión estratégica de sistemas de información o de tecnología de la información
72222100-8,Servicios de revisión estratégica de sistemas de información o de tecnología de la información
72222200-9,Servicios de planificación de sistemas de información o de tecnología de la información
72222300-0,Servicios de tecnología de la información
72223000-4,Servicios de revisión de las exigencias de tecnología de la información
72224000-1,Servicios de consultoría en gestión de proyectos
72224100-2,Servicios de planificación de la implementación de sistemas
72224200-3,Servicios de planificación de la garantía de calidad del sistema
72225000-8,Servicios de evaluación y revisión de la garantía de calidad del sistema
72226000-5,Servicios de consultoría en pruebas de aceptación del software del sistema
72227000-2,Servicios de consultoría en integración de software
72228000-9,Servicios de consultoría en integración del equipo informático
72230000-6,Servicios de desarrollo de software personalizado
72231000-3,Desarrollo de software para aplicaciones militares
72232000-0,Desarrollo de software de procesamiento de transacciones y software personalizado
72240000-9,Servicios de análisis de sistemas y de programación
72241000-6,Servicios de especificación de objetivos de diseños críticos
72242000-3,Servicios de modelado de diseños
72243000-0,Servicios de programación
72244000-7,Servicios de creación de prototipos
72245000-4,Servicios contractuales de programación y análisis de sistemas
72246000-1,Servicios de consultoría en sistemas
72250000-2,Servicios de sistemas y apoyo
72251000-9,Servicios de recuperación en caso de catástrofe
72252000-6,Servicios de archivo informático
72253000-3,Servicios de unidad de asistencia y de apoyo
72253100-4,Servicios de unidad de asistencia
72253200-5,Servicios de apoyo a sistemas
72254000-0,Ensayo de software
72254100-1,Servicios de prueba de sistemas
72260000-5,Servicios relacionados con el software
72261000-2,Servicios de apoyo al software
72262000-9,Servicios de desarrollo de software
72263000-6,Servicios de implementación de software
72264000-3,Servicios de reproducción de software
72265000-0,Servicios de configuración de software
72266000-7,Servicios de consultoría en software
72267000-4,Servicios de mantenimiento y reparación de software
72267100-0,Mantenimiento de software de tecnología de la información
72267200-1,Reparación de software de tecnología de la información
72268000-1,Servicios de suministro de software
72300000-8,Servicios relacionados con datos
72310000-1,Servicios de tratamiento de datos
72311000-8,Servicios de tabulación de datos
72311100-9,Servicios de conversión de datos
72311200-0,Servicios de procesamiento por lotes
72311300-1,Servicios informáticos de tiempo compartido
72312000-5,Servicios de introducción de datos
72312100-6,Servicios de preparación de datos
72312200-7,Servicios de reconocimiento óptico de caracteres
72313000-2,Servicios de recogida de datos
72314000-9,Servicios de recogida e intercalación de datos
72315000-6,Servicios de gestión de redes de datos y servicios de apoyo
72315100-7,Servicios de apoyo a redes de datos
72315200-8,Servicios de gestión de redes de datos
72316000-3,Servicios de análisis de datos
72317000-0,Servicios de almacenamiento de datos
72318000-7,Servicios de transmisión de datos
72319000-4,Servicios de suministro de datos
72320000-4,Servicios relacionados con bases de datos
72321000-1,Servicios de bases de datos con valor añadido
72322000-8,Servicios de gestión de datos
72330000-2,Servicios de normalización y clasificación de contenidos o datos
72400000-4,Servicios de Internet
72410000-7,Servicios de proveedor
72411000-4,Proveedor de servicios de Internet (PSI)
72412000-1,Proveedor de servicios de correo electrónico
72413000-8,Servicios de diseño de sitios web www
72414000-5,Proveedores de motores de búsqueda en la web
72415000-2,Servicios de hospedaje de operación de sitios web www
72416000-9,Proveedores de servicio de aplicaciones
72417000-6,Nombres de dominio de Internet
72420000-0,Servicios de desarrollo de Internet
72421000-7,Servicios de desarrollo de aplicaciones cliente en Internet o intranet
72422000-4,Servicios de desarrollo de aplicaciones servidor en Internet o intranet
72500000-0,Servicios informáticos
72510000-3,Servicios de gestión relacionados con la informática
72511000-0,Servicios de software de gestión de redes
72512000-7,Servicios de gestión de documentos
72513000-4,Servicios de ofimática
72514000-1,Servicios de gestión de instalaciones informáticas
72514100-2,Servicios de explotación de instalaciones que entrañan el manejo de ordenadores
72514200-3,Servicios de gestión de instalaciones para el desarrollo de sistemas informáticos
72514300-4,Servicios de gestión de instalaciones para el mantenimiento de sistemas informáticos
72540000-2,Servicios de actualización informática
72541000-9,Servicios de expansión informática
72541100-0,Servicios de expansión de memoria
72590000-7,Servicios profesionales relacionados con la informática
72591000-4,Elaboración de acuerdos de nivel de servicios
72600000-6,Servicios de apoyo informático y de consultoría
72610000-9,Servicios de apoyo informático
72611000-6,Servicios de apoyo informático técnico
72700000-7,Servicios de red informática
72710000-0,Servicios de red local
72720000-3,Servicios de red de amplia cobertura
72800000-8,Servicios de ensayo y auditoría informáticos
72810000-1,Servicios de auditoría informática
72820000-4,Servicios de ensayo informático
72900000-9,Servicios de copia de seguridad y de conversión informática de catálogos
72910000-2,Servicios de copia de seguridad
72920000-5,Servicios de conversión informática de catálogos
73000000-2,Servicios de investigación y desarrollo y servicios de consultoría conexos
73100000-3,Servicios de investigación y desarrollo experimental
73110000-6,Servicios de investigación
73111000-3,Servicios de laboratorio de investigación
73112000-0,Servicios de investigación marina
73120000-9,Servicios de desarrollo experimental
73200000-4,Servicios de consultoría en investigación y desarrollo
73210000-7,Servicios de consultoría en investigación
73220000-0,Servicios de consultoría en desarrollo
73300000-5,Diseño y ejecución en materia de investigación y desarrollo
73400000-6,Servicios de investigación y desarrollo de materiales de seguridad y defensa
73410000-9,Investigación y tecnología militares
73420000-2,Estudio de previabilidad y demostración tecnológica
73421000-9,Desarrollo de equipos de seguridad
73422000-6,Desarrollo de armas de fuego y munición
73423000-3,Desarrollo de vehículos militares
73424000-0,Desarrollo de buques de guerra
73425000-7,"Desarrollo de aeronaves militares, misiles y naves espaciales"
73426000-4,Desarrollo de sistemas electrónicos militares
73430000-5,Ensayo y evaluación
73431000-2,Ensayo y evaluación de equipos de seguridad
73432000-9,Ensayo y evaluación de armas de fuego y munición
73433000-6,Ensayo y evaluación de vehículos militares
73434000-3,Ensayo y evaluación de buques de guerra
